Action,Time,ISIN,Ticker,Name,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result,Currency (Result),Total,Currency (Total),Withholding tax,Currency (Withholding tax),Notes,ID,Currency conversion from amount,Currency (Currency conversion from amount),Currency conversion to amount,Currency (Currency conversion to amount),Currency conversion fee,Currency (Currency conversion fee)
Market sell,2024-07-30 20:06:43.001,US67066G1040,NVDA,"Nvidia",4.8493739000,100.98,USD,1.00000,-122.82,"USD",489.69,"USD",,,,EOF18253001767,,,,,,
Interest on cash,2024-07-30 21:03:12.343,,,,,,,,,,0.06,"USD",,,"Interest on cash",4b708959-66ae-488e-a46e-21705adb29f3,,,,,,
Market buy,2024-07-30 22:35:02.347,US67066G1040,NVDA,"Nvidia",1.8411111000,108.63,USD,1.00000,,"USD",200.00,"USD",,,,EOF18253008892,,,,,,
Interest on cash,2024-07-31 21:03:15.947,,,,,,,,,,0.04,"USD",,,"Interest on cash",38fa53ac-977c-43ab-8331-2a157bb9cf6d,,,,,,
Market buy,2024-08-01 18:47:45.761,US67066G1040,NVDA,"Nvidia",0.4657218000,107.36,USD,1.00000,,"USD",50.00,"USD",,,,EOF18354134791,,,,,,
Market buy,2024-08-01 20:38:35.301,US0378331005,AAPL,"Apple",0.2265924000,220.66,USD,1.00000,,"USD",50.00,"USD",,,,EOF18354149915,,,,,,
Interest on cash,2024-08-02 02:13:09.548,,,,,,,,,,0.03,"USD",,,"Interest on cash",d1d82e1a-d6be-42be-9b4c-389f39d1d3e0,,,,,,
Market buy,2024-08-02 13:07:32.127,US67066G1040,NVDA,"Nvidia",0.4822056000,103.69,USD,1.00000,,"USD",50.00,"USD",,,,EOF18400536313,,,,,,
Interest on cash,2024-08-03 01:04:07.012,,,,,,,,,,0.02,"USD",,,"Interest on cash",a164d180-ef28-41ec-a8d3-2bf496a7c619,,,,,,
Interest on cash,2024-08-04 01:04:04.585,,,,,,,,,,0.02,"USD",,,"Interest on cash",35d56b47-c080-4a8e-940e-2ac306f6e4a2,,,,,,
Interest on cash,2024-08-05 01:04:07.959,,,,,,,,,,0.02,"USD",,,"Interest on cash",ad309117-33ba-4313-a91b-45bcffe8ace8,,,,,,
Market buy,2024-08-05 08:39:54.902,US67066G1040,NVDA,"Nvidia",1.0000000000,100.00,USD,1.00000,,"USD",100.00,"USD",,,,EOF18550561600,,,,,,
Deposit,2024-08-05 09:16:06.83,,,,,,,,,,2000.00,"EUR",,,"Bank Transfer",208a9840-8bb5-4ddf-96f1-746cc4763dc2,,,,,,
Market buy,2024-08-05 09:20:25.146,US67066G1040,NVDA,"Nvidia",1.0000000000,97.24,USD,1.09578,,"EUR",88.87,"EUR",,,,EOF18550570504,,,,,0.13,"EUR"
Market buy,2024-08-05 09:24:05.75,IE00B5BMR087,SXR8,"iShares Core S&P 500 (Acc)",0.5000000000,502.00,EUR,1.00000,,"EUR",251.00,"EUR",,,,EOF18550571304,,,,,,
Market buy,2024-08-05 19:50:10.403,US67066G1040,NVDA,"Nvidia",0.3400000000,98.87,USD,1.00000,,"USD",33.62,"USD",,,,EOF18557276927,,,,,,
Interest on cash,2024-08-06 01:04:00.702,,,,,,,,,,0.19,"EUR",,,"Interest on cash",a8242a1a-fe07-4a5d-8512-2c9955bb7bce,,,,,,
Lending interest,2024-08-06 02:29:54.515,,,,,,,,,,0.02,"EUR",,,"Share lending interest",e30cc5b2-9cfe-46ea-af13-641a7063dc1f,,,,,,
